source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,abs_mag_g
1769202380476257280,326.9649713590381,14.82578261853893,10.000008327879812,15.390248,2.7318716,16.919266,14.187394,10.390250107020389
5865060558925435136,203.82996968854363,-63.345651497113174,10.000011521931214,20.534351,2.220745,21.21109,18.990345,15.534353850831085
5991077025398967936,242.1197251797219,-45.38613923262685,10.000018482890486,20.43332,2.1489868,20.912556,18.763569,15.43332310530184
6587959595560946560,327.374700930929,-35.89820096056811,10.000019790652779,20.55112,1.0784817,21.008377,19.929895,15.551125055538035
518180210764160512,30.15544146978542,65.2666872222712,10.000029388163865,13.608475,2.0258188,14.623214,12.597395,8.608481112994635
473881441333817984,60.74761405694887,60.72733515983865,10.000031865768985,9.267752,0.8808584,9.624231,8.743373,4.267758613278376
4268948251011683200,286.48065890820794,3.0983673883767744,10.000033274917804,19.219837,1.9393463,19.800339,17.860992,14.219844414265275
2629631149026173952,337.05247480726354,-1.7618590288703149,10.000042091841326,16.122866,2.855918,17.475218,14.6193,11.122874816987858
6473748546781525888,303.30311746767603,-52.78222521761071,10.000050864383947,18.146105,3.8447037,20.622805,16.778101,13.146115857654618
6030106909357789952,255.5756678586609,-28.425210991337988,10.000055967865567,20.23807,1.5047226,20.212498,18.707775,15.238081687535338
71475475647268736,55.05770921046282,28.350757221852422,10.000066061888884,15.506643,2.6497345,16.973078,14.323343,10.506657640397606
6075136102374866560,192.17616705427082,-52.76289850531417,10.000102183917642,19.663582,3.0176315,21.206299,18.188667,14.66360403698695
4587157601940918656,278.88931988338885,28.827333174563147,10.00011100322106,17.077917,2.940875,18.773182,15.832307,12.077941202908434
4799566167336113536,81.26401407559327,-44.487142780473725,10.000112983745307,8.968927,0.72655773,9.08185,8.355292,3.96895191739282
5852067217742752256,211.15896364428596,-64.91441820582179,10.000115233153439,20.568724,1.9516525,21.002817,19.051165,15.568748701006033
4322514975725234432,292.3177935993643,16.86960875075562,10.000127091513598,20.751787,2.767374,21.665596,18.898222,15.751814783065102
6832879006104020096,318.17681412703587,-19.639974312928082,10.000128388241727,14.719197,2.4612255,16.046291,13.585066,9.719225152227889
1407928457594520576,253.50218132917882,47.883362229890025,10.000128510873266,14.937911,2.513341,16.300388,13.787047,9.937938939232625
5055343362578489344,53.619121006456545,-32.25654016146401,10.000128847700896,15.242055,2.5735512,16.650156,14.076605,10.242082918012523
3809611737872457856,162.87390006366564,3.317327493954877,10.000134224034072,16.517666,2.8234825,18.129488,15.3060055,11.517695009220173
5761035592009134848,132.65107615466013,-4.699385216511936,10.00013429110453,6.97892,0.33607674,7.0931716,6.757095,1.9789491436571875
4191162991637325824,302.3955216980271,-10.744899772562414,10.000136802442897,13.656405,2.125083,14.74527,12.620187,8.656435154983411
1997756625600681600,353.09671688774444,56.235063227910025,10.000155617356814,14.95944,2.5802536,16.374765,13.794512,9.959474022939991
4072503039634788736,280.0046318198612,-27.474420044823162,10.000158247608615,13.571552,1.989646,14.5650215,12.575376,8.571586639371036
632659544673927168,141.19177937316985,18.727108112066684,10.000162793590032,15.528662,2.9111176,17.157547,14.246429,10.528697077796458
5958017944880608512,266.8132289659542,-40.47909088328481,10.000163989376576,20.63396,1.7218971,20.738356,19.016459,15.633996333425644
3049759386728493568,106.255236916557,-9.353426368209956,10.000167551931327,13.920628,2.3441334,15.16051,12.816377,8.920663977128942
5823733043591666432,234.14618799279455,-67.50258151808639,10.00017225761234,20.478533,1.5259151,20.984844,19.45893,15.478570196080785
5616561512174337408,111.29722159697903,-25.67745788259934,10.000181349104516,20.58887,2.5626297,21.414328,18.851698,15.58890847394926
4094787979969379072,274.3133868457463,-18.930798295837207,10.000181530649236,20.593348,1.7097721,21.35183,19.642057,15.593386967960324
2040461554142327296,283.84173968880225,28.663450537634024,10.000194567495907,20.547686,2.7032146,21.704952,19.001738,15.547727872552844
5977943432053069952,254.78460909258698,-34.53390600345973,10.000199584275776,20.327961,2.016142,21.222336,19.206194,15.328004306759915
5836131858248055552,241.16461057940654,-56.86617493802493,10.00020319767831,20.304028,1.9175758,20.681128,18.763552,15.304071680739973
4783693381255646720,73.49676723639533,-51.49490865758236,10.000217217526295,15.091157,2.5407238,16.474169,13.933445,10.091204127207932
5849276932112646656,217.61805501167788,-66.38542541622496,10.000217643485687,19.32374,1.5331059,19.675205,18.1421,14.3237872656613
4119205521931143808,268.33243047385815,-19.91921698099578,10.000217710811803,20.328712,3.1900826,22.41552,19.225437,15.328759738166404
4344739030591763456,245.98389170168565,-9.140748729697574,10.00021992613069,16.649647,2.9032564,18.300758,15.397502,11.64969451486056
6725302960243580288,270.2592182875692,-42.17887082026057,10.000220431186849,19.575907,1.0939178,19.50436,18.410442,14.575954619036532
2021593934616270464,295.6215690938776,25.144318570699582,10.000230604425838,20.80081,2.127409,21.455748,19.328339,15.800859934766946
1890496307069030016,341.6272047367655,32.23451028029638,10.000239697919447,19.12287,3.6029587,21.280972,17.678013,14.122921540695216
4138499511407099008,262.2299678007081,-13.008137897861202,10.000249997043527,20.66068,2.439865,21.874426,19.43456,15.660735056363713
5972183674749285504,257.75278838201245,-39.81351975538665,10.000278933114927,20.192945,3.1152458,21.893625,18.77838,15.193006049058269
4504160520060674048,281.2695590126564,11.899070420047737,10.000279231217624,19.961685,1.2380447,20.583536,19.345491,14.961745814106024
4050300708755282560,271.5390753731407,-29.592357971740626,10.000282115189723,19.396427,2.3863678,20.393753,18.007385,14.396488414211985
